S 643ecc,4 hit 
L 603710,4 hit 
S 643f4c,4 hit 
L 603714,4 hit 
S 643fcc,4 hit 
L 603718,4 hit 
S 64404c,4 hit 
L 60371c,4 hit 
S 6440cc,4 hit 
L 603780,4 miss eviction 
S 643d50,4 hit 
L 603784,4 hit 
S 643dd0,4 hit 
L 603788,4 hit 
S 643e50,4 hit 
L 60378c,4 hit 
S 643ed0,4 hit 
L 603790,4 hit 
S 643f50,4 hit 
L 603794,4 hit 
S 643fd0,4 hit 
L 603798,4 hit 
S 644050,4 hit 
L 60379c,4 hit 
S 6440d0,4 hit 
L 603800,4 miss eviction 
S 643d54,4 hit 
L 603804,4 hit 
S 643dd4,4 hit 
L 603808,4 hit 
S 643e54,4 hit 
L 60380c,4 hit 
S 643ed4,4 hit 
L 603810,4 hit 
S 643f54,4 hit 
L 603814,4 hit 
S 643fd4,4 hit 
L 603818,4 hit 
S 644054,4 hit 
L 60381c,4 hit 
S 6440d4,4 hit 
L 603880,4 miss eviction 
S 643d58,4 hit 
L 603884,4 hit 
S 643dd8,4 hit 
L 603888,4 hit 
S 643e58,4 hit 
L 60388c,4 hit 
S 643ed8,4 hit 
L 603890,4 hit 
S 643f58,4 hit 
L 603894,4 hit 
S 643fd8,4 hit 
L 603898,4 hit 
S 644058,4 hit 
L 60389c,4 hit 
S 6440d8,4 hit 
L 603900,4 miss eviction 
S 643d5c,4 hit 
L 603904,4 hit 
S 643ddc,4 hit 
L 603908,4 hit 
S 643e5c,4 hit 
L 60390c,4 hit 
S 643edc,4 hit 
L 603910,4 hit 
S 643f5c,4 hit 
L 603914,4 hit 
S 643fdc,4 hit 
L 603918,4 hit 
S 64405c,4 hit 
L 60391c,4 hit 
S 6440dc,4 hit 
L 603920,4 miss eviction 
S 643160,4 miss eviction 
L 603924,4 hit 
S 6431e0,4 miss eviction 
L 603928,4 hit 
S 643260,4 miss eviction 
L 60392c,4 hit 
S 6432e0,4 miss eviction 
L 603930,4 hit 
S 643360,4 miss eviction 
L 603934,4 hit 
S 6433e0,4 miss eviction 
L 603938,4 hit 
S 643460,4 miss eviction 
L 60393c,4 hit 
S 6434e0,4 miss eviction 
L 6039a0,4 miss eviction 
S 643164,4 hit 
L 6039a4,4 hit 
S 6431e4,4 hit 
L 6039a8,4 hit 
S 643264,4 hit 
L 6039ac,4 hit 
S 6432e4,4 hit 
L 6039b0,4 hit 
S 643364,4 hit 
L 6039b4,4 hit 
